GO.ID	Term	Annotated	Significant	Expected	classic
GO:0006094	gluconeogenesis	27	2	0.06	0.0014
GO:0019319	hexose biosynthetic process	27	2	0.06	0.0014
GO:0009610	response to symbiotic fungus	1	1	0	0.0022
GO:0042128	nitrate assimilation	1	1	0	0.0022
GO:0071923	negative regulation of cohesin loading	1	1	0	0.0022
GO:0106111	regulation of mitotic cohesin ssDNA (lag...	1	1	0	0.0022
GO:0106112	negative regulation of mitotic cohesin s...	1	1	0	0.0022
GO:0120186	negative regulation of protein localizat...	1	1	0	0.0022
GO:1905405	regulation of mitotic cohesin loading	1	1	0	0.0022
GO:1905412	negative regulation of mitotic cohesin l...	1	1	0	0.0022
GO:0046364	monosaccharide biosynthetic process	35	2	0.08	0.0023
GO:0006006	glucose metabolic process	43	2	0.09	0.0035
GO:0009608	response to symbiont	2	1	0	0.0044
GO:0035070	salivary gland histolysis	2	1	0	0.0044
GO:0035071	salivary gland cell autophagic cell deat...	2	1	0	0.0044
GO:0035209	pupal development	2	1	0	0.0044
GO:0042126	nitrate metabolic process	2	1	0	0.0044
GO:0046166	glyceraldehyde-3-phosphate biosynthetic ...	2	1	0	0.0044
GO:0061780	mitotic cohesin loading	2	1	0	0.0044
GO:0062022	mitotic cohesin ssDNA (lagging strand) l...	2	1	0	0.0044
GO:0019318	hexose metabolic process	50	2	0.11	0.0047
GO:0048102	autophagic cell death	3	1	0.01	0.0065
GO:0071922	regulation of cohesin loading	3	1	0.01	0.0065
GO:0005996	monosaccharide metabolic process	59	2	0.13	0.0066
GO:0010952	positive regulation of peptidase activit...	63	2	0.14	0.0074
GO:0019362	pyridine nucleotide metabolic process	64	2	0.14	0.0077
GO:0046496	nicotinamide nucleotide metabolic proces...	64	2	0.14	0.0077
GO:0006108	malate metabolic process	4	1	0.01	0.0087
GO:0007435	salivary gland morphogenesis	4	1	0.01	0.0087
GO:0030491	heteroduplex formation	4	1	0.01	0.0087
GO:0071921	cohesin loading	4	1	0.01	0.0087
GO:1905634	regulation of protein localization to ch...	4	1	0.01	0.0087
GO:0072524	pyridine-containing compound metabolic p...	71	2	0.15	0.0094
GO:0016051	carbohydrate biosynthetic process	75	2	0.16	0.0105
GO:0006733	oxidoreduction coenzyme metabolic proces...	76	2	0.17	0.0107
GO:0019405	alditol catabolic process	5	1	0.01	0.0108
GO:0019563	glycerol catabolic process	5	1	0.01	0.0108
GO:0052547	regulation of peptidase activity	78	2	0.17	0.0113
GO:0006071	glycerol metabolic process	6	1	0.01	0.0130
GO:0006279	premeiotic DNA replication	6	1	0.01	0.0130
