baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sm_t00006558-RA	149.621275680134	-26.145843698132	1.76771463435518	-14.4598246806142	2.17350745339951e-47	2.58550752537065e-46
Sm_t00017228-RA	0.605562238154286	-15.9258470328949	3.57538450442279	-4.29068454425477	1.78123191967927e-05	4.14988876822583e-05
Sm_t00017876-RA	412.364819055959	-14.0236642437706	1.94021057822862	-6.9263946885806	4.31700975956906e-12	1.48626463454445e-11
Sm_t00014125-RA	340.132299250478	-13.7458728412099	1.57069273294653	-8.37902446808983	5.33681801531978e-17	2.28608397627015e-16
Sm_t00014961-RA	543.164474453679	-13.4637268157833	1.19355932348542	-10.7901857598288	3.83014577532833e-27	2.40450417835882e-26
Sm_t00008831-RA	232.505197731946	-13.188468113098	1.31228974041242	-9.60418094035929	7.67658191179838e-22	3.96435247258803e-21
Sm_t00004944-RA	783.107403252793	-13.1283896686528	1.02943246688162	-12.1847620627796	3.747454333677e-34	3.00081188828786e-33
Sm_t00016364-RA	415.083379736484	-13.0763100847826	1.19551082331064	-10.4485127538965	1.48840918385284e-25	8.79376978724972e-25
Sm_t00006825-RA	204.326849012511	-13.0141415040253	1.19126631753073	-10.4335540433885	1.74246332293493e-25	1.0265977550294e-24
Sm_t00018098-RA	189.705396246374	-12.9094589958965	1.19244450941355	-10.335457036871	4.87084618604389e-25	2.8146377549522e-24
Sm_t00016642-RA	306.235662974369	-12.6332861258482	1.19361727536856	-10.0939274040986	5.87700230363328e-24	3.27047708253689e-23
Sm_t00014311-RA	280.11891500207	-12.5035728338615	1.48160047012016	-8.0443905588764	8.66756800291369e-16	3.52559184983381e-15
Sm_t00015502-RA	263.45659216604	-12.4187110396755	1.19162964321886	-9.93069541951808	3.06113115138844e-23	1.66339222075446e-22
Sm_t00003637-RA	232.079147662716	-12.2308952223126	1.19238336074927	-9.7669051797188	1.56149100565353e-22	8.2457682930125e-22
Sm_t00011757-RA	417.908223876311	-12.225365068892	1.03353066400394	-11.2627186345849	2.00476938442274e-29	1.35657939557727e-28
Sm_t00007606-RA	1006.52249638833	-12.1813575538816	0.665745088113667	-17.4186152641981	5.96022044756912e-68	1.20606813762575e-66
Sm_t00010540-RA	107.558745791435	-12.0854997680737	1.20422609421903	-9.55011672914468	1.29550237543419e-21	6.6414197202916e-21
Sm_t00004448-RA	106.381818441929	-12.0624571939125	1.20309235118381	-9.53996356357763	1.42882506729653e-21	7.31155899646338e-21
Sm_t00021039-RA	103.123466378054	-11.9893607801989	1.1995152556903	-9.50747456199371	1.95347257637243e-21	9.92696223917206e-21
Sm_t00008498-RA	862.352694556536	-11.9379854044612	0.665610175207224	-17.056508189537	3.12696776520778e-65	5.90898751685453e-64
Sm_t00015513-RA	6693.85130455077	-11.8997185469418	0.312795078362313	-36.1729430212962	1.62185026093501e-286	1.13907949993002e-283
Sm_t00001936-RA	180.349032920925	-11.8623599945032	1.19432873879532	-9.44242537936276	3.64248701000852e-21	1.83222205433314e-20
Sm_t00004660-RA	173.209450736577	-11.8014498903201	1.19678576993806	-9.37214510070636	7.10731237819752e-21	3.532906441961e-20
Sm_t00009994-RA	458.013076600613	-11.7612954492636	0.848053307254817	-13.1787652422956	1.1627834701136e-39	1.10235535276911e-38
Sm_t00005069-RA	716.613718280951	-11.6837126520328	0.664524513991708	-16.7017354790485	1.27307400050724e-62	2.25646007913249e-61
Sm_t00004686-RA	157.550575343301	-11.6661005947528	1.20256959702962	-9.21451916140522	3.12676533196558e-20	1.51886906154501e-19
Sm_t00004441-RA	79.5958029661579	-11.6436906538865	1.21296956885225	-9.11703882592092	7.72049333717594e-20	3.70607556565636e-19
